nabm_concept_name,nabm_concept_code,loinc_concept_name,loinc_concept_code
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine/Creatinine [Mass Ratio] in Urine,13757-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine/Creatinine [Mass Ratio] in Urine,13759-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline/Creatinine [Mass Ratio] in Urine,13763-8
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline/Creatinine [Mass Ratio] in Urine,13763-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine/Creatinine [Mass Ratio] in Urine,13765-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine/Creatinine [Mass Ratio] in Urine,13768-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine/Creatinine [Mass Ratio] in Urine,13769-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine/Creatinine [Mass Ratio] in Urine,13772-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Ornithine/Creatinine [Mass Ratio] in Urine,13786-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phosphoserine/Creatinine [Mass Ratio] in Urine,13796-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Proline/Creatinine [Mass Ratio] in Urine,13799-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Serine/Creatinine [Mass Ratio] in Urine,13808-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Taurine/Creatinine [Mass Ratio] in Urine,13814-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Threonine/Creatinine [Mass Ratio] in Urine,13815-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tryptophan/Creatinine [Mass Ratio] in Urine,13817-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tyrosine/Creatinine [Mass Ratio] in Urine,13818-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Valine/Creatinine [Mass Ratio] in Urine,13822-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystine [Moles/time] in 24 hour Urine,13966-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline/Creatinine [Molar ratio] in 24 hour Urine,13996-4
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline/Creatinine [Molar ratio] in 24 hour Urine,13996-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline [Moles/time] in 24 hour Urine,14785-0
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline [Moles/time] in 24 hour Urine,14785-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Creatine [Moles/volume] in Urine,15046-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Creatine [Moles/time] in 24 hour Urine,15047-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,1-Methylhistidine [Mass/volume] in Urine,1653-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylhistidine [Mass/volume] in Urine,1687-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylhistidine [Mass/volume] in 24 hour Urine,17860-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phenylalanine/Creatinine [Molar ratio] in Urine,18475-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Argininosuccinate [Mass/volume] in Urine,1897-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Creatine [Mass/volume] in Urine,2149-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Creatine [Mass/time] in 24 hour Urine,2150-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystine [Mass/volume] in Urine,2178-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystine [Mass/time] in 24 hour Urine,2179-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine/Creatinine [Molar ratio] in Urine,22679-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine/Creatinine [Molar ratio] in Urine,22681-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Ornithine/Creatinine [Molar ratio] in Urine,22682-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Serine/Creatinine [Molar ratio] in Urine,22684-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tyrosine/Creatinine [Molar ratio] in Urine,22685-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystine/Creatinine [Molar ratio] in Urine,22687-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Threonine/Creatinine [Molar ratio] in Urine,22688-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Proline/Creatinine [Molar ratio] in Urine,22690-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Aspartate/Creatinine [Molar ratio] in Urine,22691-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Valine/Creatinine [Molar ratio] in Urine,22692-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine/Creatinine [Molar ratio] in Urine,22693-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Citrulline/Creatinine [Molar ratio] in Urine,22694-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Arginine/Creatinine [Molar ratio] in Urine,22697-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alanine/Creatinine [Molar ratio] in Urine,22698-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alloisoleucine/Creatinine [Molar ratio] in Urine,22699-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine/Creatinine [Molar ratio] in Urine,22703-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine/Creatinine [Molar ratio] in Urine,22706-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine/Creatinine [Molar ratio] in Urine,22707-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine/Creatinine [Molar ratio] in Urine,22709-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine/Creatinine [Molar ratio] in Urine,22710-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate/Creatinine [Molar ratio] in Urine,22711-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate [Mass/volume] in Urine,2365-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate [Mass/time] in 24 hour Urine,2366-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine [Mass/volume] in Urine,2373-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine [Mass/time] in 24 hour Urine,2374-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine [Mass/volume] in Urine,2392-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine [Mass/time] in 24 hour Urine,2393-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine [Mass/volume] in Urine,2423-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine [Mass/time] in 24 hour Urine,2424-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine [Mass/volume] in Urine,2431-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,2-Methylbutyrylglycine/Creatinine [Molar ratio] in Urine,24435-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylcrotonylglycine/Creatinine [Molar ratio] in Urine,24436-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Butyrylglycine/Creatinine [Molar ratio] in Urine,24437-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hexanoylglycine/Creatinine [Molar ratio] in Urine,24438-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isobutyrylglycine/Creatinine [Molar ratio] in Urine,24439-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isovalerylglycine/Creatinine [Molar ratio] in Urine,24440-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phenylpropionylglycine/Creatinine [Molar ratio] in Urine,24441-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Propionylglycine/Creatinine [Molar ratio] in Urine,24442-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Suberylglycine/Creatinine [Molar ratio] in Urine,24443-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tiglylglycine/Creatinine [Molar ratio] in Urine,24444-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Valerylglycine/Creatinine [Molar ratio] in Urine,24445-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline [Mass/time] in 24 hour Urine,2447-1
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline [Mass/time] in 24 hour Urine,2447-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline [Mass/volume] in Urine,2451-3
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline [Mass/volume] in Urine,2451-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystathionine/Creatinine [Molar ratio] in Urine,25092-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine [Mass/volume] in Urine,2509-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine [Mass/time] in 24 hour Urine,2510-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxylysine/Creatinine [Molar ratio] in Urine,25109-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline/Creatinine [Molar ratio] in Urine,25110-8
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline/Creatinine [Molar ratio] in Urine,25110-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,N-acetyltyrosine/Creatinine [Molar ratio] in Urine,25119-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phosphoserine/Creatinine [Molar ratio] in Urine,25128-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Taurine/Creatinine [Molar ratio] in Urine,25138-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tryptophan/Creatinine [Molar ratio] in Urine,25139-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alanine [Moles/time] in 24 hour Urine,25301-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminoadipate [Moles/time] in 24 hour Urine,25304-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminobutyrate [Moles/time] in 24 hour Urine,25305-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,1-Methylhistidine [Moles/time] in 24 hour Urine,25318-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylhistidine [Moles/time] in 24 hour Urine,25319-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Anserine [Moles/time] in 24 hour Urine,25320-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Arginine [Moles/time] in 24 hour Urine,25322-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Asparagine [Moles/time] in 24 hour Urine,25326-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Aspartate [Moles/time] in 24 hour Urine,25327-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Citrulline [Moles/time] in 24 hour Urine,25376-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystathionine [Moles/time] in 24 hour Urine,25388-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Gamma aminobutyrate [Moles/time] in 24 hour Urine,25427-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate [Moles/time] in 24 hour Urine,25429-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine [Moles/time] in 24 hour Urine,25430-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine [Moles/time] in 24 hour Urine,25431-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine [Moles/time] in 24 hour Urine,25440-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine [Moles/time] in 24 hour Urine,25441-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxylysine [Moles/time] in 24 hour Urine,25443-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine [Moles/time] in 24 hour Urine,25450-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine [Moles/time] in 24 hour Urine,25460-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine [Moles/time] in 24 hour Urine,25464-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine [Moles/time] in 24 hour Urine,25476-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine sulfoxide [Moles/time] in 24 hour Urine,25477-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Ornithine [Moles/time] in 24 hour Urine,25491-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phenylalanine [Moles/time] in 24 hour Urine,25495-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phosphoserine [Moles/time] in 24 hour Urine,25503-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Proline [Moles/time] in 24 hour Urine,25510-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Serine [Moles/time] in 24 hour Urine,25523-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Taurine [Moles/time] in 24 hour Urine,25533-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Threonine [Moles/time] in 24 hour Urine,25540-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tryptophan [Moles/time] in 24 hour Urine,25546-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Tyrosine [Moles/time] in 24 hour Urine,25547-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Valine [Moles/time] in 24 hour Urine,25553-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine [Mass/volume] in Urine,2561-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine [Mass/time] in 24 hour Urine,2562-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alanine [Moles/volume] in 24 hour Urine,25843-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alanine/Creatinine [Molar ratio] in 24 hour Urine,25844-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminoadipate [Moles/volume] in 24 hour Urine,25846-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminoadipate/Creatinine [Molar ratio] in 24 hour Urine,25847-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminobutyrate [Moles/volume] in 24 hour Urine,25848-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Alpha aminobutyrate/Creatinine [Molar ratio] in 24 hour Urine,25849-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,1-Methylhistidine [Moles/volume] in 24 hour Urine,25853-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,1-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,25854-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylhistidine [Moles/volume] in 24 hour Urine,25856-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,3-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,25857-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Anserine [Moles/volume] in 24 hour Urine,25858-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Anserine/Creatinine [Molar ratio] in 24 hour Urine,25859-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Arginine [Moles/volume] in 24 hour Urine,25860-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Arginine/Creatinine [Molar ratio] in 24 hour Urine,25861-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Asparagine [Moles/volume] in 24 hour Urine,25862-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Asparagine/Creatinine [Molar ratio] in 24 hour Urine,25863-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Aspartate [Moles/volume] in 24 hour Urine,25864-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Aspartate/Creatinine [Molar ratio] in 24 hour Urine,25865-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine [Mass/volume] in Urine,2586-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine [Mass/time] in 24 hour Urine,2587-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Citrulline [Moles/volume] in 24 hour Urine,25877-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Citrulline/Creatinine [Molar ratio] in 24 hour Urine,25878-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystathionine [Moles/volume] in 24 hour Urine,25887-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystathionine/Creatinine [Molar ratio] in 24 hour Urine,25888-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cysteine [Moles/volume] in 24 hour Urine,25891-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cysteine [Moles/time] in 24 hour Urine,25892-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cysteine/Creatinine [Molar ratio] in 24 hour Urine,25893-9
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Cystine/Creatinine [Molar ratio] in 24 hour Urine,25894-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Gamma aminobutyrate [Moles/volume] in 24 hour Urine,25914-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Gamma aminobutyrate/Creatinine [Molar ratio] in 24 hour Urine,25915-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate [Moles/volume] in 24 hour Urine,25917-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamate/Creatinine [Molar ratio] in 24 hour Urine,25918-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine [Moles/volume] in 24 hour Urine,25919-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glutamine/Creatinine [Molar ratio] in 24 hour Urine,25920-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine [Moles/volume] in 24 hour Urine,25921-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Glycine/Creatinine [Molar ratio] in 24 hour Urine,25922-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine [Moles/volume] in 24 hour Urine,25926-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Histidine/Creatinine [Molar ratio] in 24 hour Urine,25927-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine [Moles/volume] in 24 hour Urine,25928-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Homocystine/Creatinine [Molar ratio] in 24 hour Urine,25929-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxylysine [Moles/volume] in 24 hour Urine,25932-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxylysine/Creatinine [Molar ratio] in 24 hour Urine,25933-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Hydroxyproline [Moles/volume] in 24 hour Urine,25934-1
UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE),992,Hydroxyproline [Moles/volume] in 24 hour Urine,25934-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine [Moles/volume] in 24 hour Urine,25938-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Isoleucine/Creatinine [Molar ratio] in 24 hour Urine,25939-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine [Moles/volume] in 24 hour Urine,25941-6
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Leucine/Creatinine [Molar ratio] in 24 hour Urine,25942-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine [Moles/volume] in 24 hour Urine,25952-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Lysine/Creatinine [Molar ratio] in 24 hour Urine,25953-1
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine [Moles/volume] in 24 hour Urine,25956-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine sulfoxide [Moles/volume] in 24 hour Urine,25957-2
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine sulfoxide/Creatinine [Molar ratio] in 24 hour Urine,25958-0
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Methionine/Creatinine [Molar ratio] in 24 hour Urine,25959-8
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Ornithine [Moles/volume] in 24 hour Urine,25965-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Ornithine/Creatinine [Molar ratio] in 24 hour Urine,25966-3
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phenylalanine [Moles/volume] in 24 hour Urine,25969-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phenylalanine/Creatinine [Molar ratio] in 24 hour Urine,25970-5
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Phosphoserine/Creatinine [Molar ratio] in 24 hour Urine,25974-7
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Proline [Moles/volume] in 24 hour Urine,25975-4
UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE,991,Proline/Creatinine [Molar ratio] in 24 hour Urine,25976-2
