concept_code,concept_name,concept_chapter,concept_category
K280,"ulcère gastro-jéjunal aigu, avec hémorragie",11,K28
K281,"ulcère gastro-jéjunal aigu, avec perforation",11,K28
K282,"ulcère gastro-jéjunal aigu, avec hémorragie et perforation",11,K28
K283,"ulcère gastro-jéjunal aigu, sans hémorragie ni perforation",11,K28
K284,"ulcère gastro-jéjunal chronique ou non précisé, avec hémorragie",11,K28
K285,"ulcère gastro-jéjunal chronique ou non précisé, avec perforation",11,K28
K286,"ulcère gastro-jéjunal chronique ou non précisé, avec hémorragie et perforation",11,K28
K287,"ulcère gastro-jéjunal chronique, sans hémorragie ni perforation",11,K28
K289,"ulcère gastro-jéjunal non précisé comme étant aigu ou chronique, sans hémorragie ni perforation",11,K28
K29,gastrite et duodénite,11,K29
K290,gastrite hémorragique aiguë,11,K29
K291,autres gastrites aiguës,11,K29
K292,gastrite alcoolique,11,K29
K293,gastrite chronique superficielle,11,K29
K294,gastrite (chronique) atrophique,11,K29
K295,"gastrite chronique, sans précision",11,K29
K296,autres gastrites,11,K29
K297,"gastrite, sans précision",11,K29
K298,duodénite,11,K29
K299,"gastro-duodénite, sans précision",11,K29
K30,dyspepsie fonctionnelle,11,K30
K31,autres maladies de l'estomac et du duodénum,11,K31
K310,dilatation aiguë de l'estomac,11,K31
K311,sténose pylorique (hypertrophique de l'adulte),11,K31
K312,estomac en sablier et sténose de l'estomac,11,K31
K313,"spasme du pylore, non classé ailleurs",11,K31
K314,diverticule gastrique,11,K31
K315,obstruction du duodénum,11,K31
K316,fistule de l'estomac et du duodénum,11,K31
K317,polype de l'estomac et du duodénum,11,K31
K318,autres maladies précisées de l'estomac et du duodénum,11,K31
K319,"maladie de l'estomac et du duodénum, sans précision",11,K31
K35,appendicite aiguë,11,K35
K350,appendicite (aiguë) avec péritonite généralisée,11,K35
K351,appendicite aiguë avec abcès péritonéal,11,K35
K352,appendicite aigüe avec péritonite généralisée,11,K35
K353,appendicite aigüe avec péritonite localisée,11,K35
K358,"appendicites aigües, autres et non précisées",11,K35
K359,"appendicite aiguë, sans précision",11,K35
K36,autres formes d'appendicite,11,K36
K37,"appendicite, sans précision",11,K37
K38,autres maladies de l'appendice,11,K38
K380,hyperplasie de l'appendice,11,K38
K381,concrétions appendiculaires,11,K38
K382,diverticule de l'appendice,11,K38
K383,fistule de l'appendice,11,K38
K388,autres maladies précisées de l'appendice,11,K38
K389,"maladie de l'appendice, sans précision",11,K38
K40,hernie inguinale,11,K40
K400,"hernie inguinale bilatérale, avec occlusion, sans gangrène",11,K40
K401,"hernie inguinale bilatérale, avec gangrène",11,K40
K402,"hernie inguinale bilatérale, (sans occlusion ni gangrène)",11,K40
K403,"hernie inguinale, (unilatérale ou) sans précision, avec occlusion, sans gangrène",11,K40
K404,"hernie inguinale, (unilatérale ou) sans précision, avec gangrène",11,K40
K409,"hernie inguinale, (unilatérale ou) sans précision(, sans occlusion ni gangrène)",11,K40
K41,hernie crurale,11,K41
K410,"hernie crurale bilatérale, avec occlusion, sans gangrène",11,K41
K411,"hernie crurale bilatérale, avec gangrène",11,K41
K412,"hernie crurale bilatérale, (sans occlusion ni gangrène)",11,K41
K413,"hernie crurale, (unilatérale ou) sans précision, avec occlusion, sans gangrène",11,K41
K414,"hernie crurale, (unilatérale ou) sans précision, avec gangrène",11,K41
K419,"hernie crurale, (unilatérale ou) sans précision, (sans occlusion ni gangrène)",11,K41
K42,hernie ombilicale,11,K42
K420,"hernie ombilicale, avec occlusion, sans gangrène",11,K42
K421,"hernie ombilicale, avec gangrène",11,K42
K429,"hernie ombilicale, (sans occlusion ni gangrène)",11,K42
K43,autres hernies de la paroi abdominale antérieure,11,K43
K430,"éventration post-opératoire, avec occlusion sans gangrène",11,K43
K431,"éventration post-opératoire, avec occlusion avec gangrène",11,K43
K432,"éventration post-opératoire, sans occlusion ni gangrène",11,K43
K433,"hernie péristomiale, avec occlusion sans gangrène",11,K43
K434,"hernie péristomiale, avec gangrène",11,K43
K435,"hernie péristomiale, sans occlusion ni gangrène",11,K43
K436,"hernie de la paroi abdominale antérieure autre et non précisée, avec occlusion sans gangrène",11,K43
K437,"hernie de la paroi abdominale antérieure autre et non précisée, avec gangrène",11,K43
K439,"hernie de la paroi abdominale antérieure autre et non précisée, sans occlusion ni gangrène",11,K43
K44,hernie diaphragmatique,11,K44
K440,"hernie diaphragmatique, avec occlusion, sans gangrène",11,K44
K441,"hernie diaphragmatique, avec gangrène",11,K44
K449,"hernie diaphragmatique, (sans occlusion ni gangrène)",11,K44
K45,autres hernies abdominales,11,K45
K450,"autres hernies abdominales de siège précisé, avec occlusion, sans gangrène",11,K45
K451,"autres hernies abdominales précisées, avec gangrène",11,K45
K458,"autres hernies abdominales précisées, sans occlusion ni gangrène",11,K45
K46,hernie abdominale non précisée,11,K46
K460,"hernie abdominale non précisée, avec occlusion, sans gangrène",11,K46
K461,"hernie abdominale non précisée, avec gangrène",11,K46
K469,"hernie abdominale non précisée, (sans occlusion ni gangrène)",11,K46
K50,maladie de crohn [entérite régionale],11,K50
K500,maladie de crohn de l'intestin grêle,11,K50
K501,maladie de crohn du gros intestin,11,K50
K508,autres formes de la maladie de crohn,11,K50
K509,"maladie de crohn, sans précision",11,K50
K51,recto-colite hémorragique [colite ulcéreuse],11,K51
K510,pancolite ulcéreuse (chronique),11,K51
K511,iléo-colite ulcéreuse (chronique),11,K51
K512,rectite ulcéreuse (chronique),11,K51
K513,recto-sigmoïdite ulcéreuse (chronique),11,K51
K514,polypes coliques inflammatoires,11,K51
K515,colite ulcéreuse gauche,11,K51
K518,autres recto-colites hémorragiques,11,K51
K519,"recto-colite hémorragique, sans précision",11,K51
K52,autres gastro-entérites et colites non infectieuses,11,K52
K520,gastro-entérite et colite dues à une irradiation,11,K52
K521,gastro-entérite et colite toxiques,11,K52
K522,gastro-entérite et colite allergiques et alimentaires,11,K52
K523,colite indéterminée,11,K52
K528,autres gastro-entérites et colites non infectieuses précisées,11,K52
K529,"gastro-entérite et colite non infectieuses, sans précision",11,K52
K55,troubles vasculaires de l'intestin,11,K55
K550,troubles vasculaires aigus de l'intestin,11,K55
K551,troubles vasculaires chroniques de l'intestin,11,K55
K552,angiodysplasie du côlon,11,K55
K558,autres troubles vasculaires de l'intestin,11,K55
K559,"trouble vasculaire de l'intestin, sans précision",11,K55
K56,iléus paralytique et occlusion intestinale sans hernie,11,K56
K560,iléus paralytique,11,K56
K561,invagination (intestinale),11,K56
K562,volvulus (intestinal),11,K56
K563,iléus biliaire,11,K56
K564,autres obstructions de l'intestin,11,K56
K565,"adhérences de l'intestin (brides), avec occlusion",11,K56
K566,"occlusions intestinales, autres et sans précision",11,K56
K567,"iléus, sans précision",11,K56
K57,diverticulose de l'intestin,11,K57
K570,"diverticulose de l'intestin grêle, avec perforation et abcès",11,K57
K571,"diverticulose de l'intestin grêle, (sans perforation ni abcès)",11,K57
K572,"diverticulose du côlon, avec perforation et abcès",11,K57
K573,"diverticulose du côlon, (sans perforation ni abcès)",11,K57
K574,"diverticulose du côlon et de l'intestin grêle, avec perforation et abcès",11,K57
K575,"diverticulose du côlon et de l'intestin grêle, (sans perforation ni abcès)",11,K57
K578,"diverticulose de l'intestin (siège non précisé), avec perforation et abcès",11,K57
K579,"diverticulose de l'intestin, (siège non précisé, sans perforation ni abcès)",11,K57
K58,syndrome de l'intestin irritable,11,K58
K580,"syndrome de l'intestin irritable, avec diarrhée",11,K58
K589,"syndrome de l'intestin irritable, (sans diarrhée)",11,K58
K59,autres troubles fonctionnels de l'intestin,11,K59
K590,constipation,11,K59
K591,diarrhée fonctionnelle,11,K59
K592,"intestin neurogène, non classé ailleurs",11,K59
K593,"mégacôlon, non classé ailleurs",11,K59
K594,spasme de l'anus,11,K59
K598,autres troubles fonctionnels précisés de l'intestin,11,K59
K599,"trouble fonctionnel de l'intestin, sans précision",11,K59
K60,fissure et fistule des régions anale et rectale,11,K60
K600,fissure anale aiguë,11,K60
K601,fissure anale chronique,11,K60
K602,"fissure anale, sans précision",11,K60
K603,fistule anale,11,K60
K604,fistule rectale,11,K60
K605,fistule ano-rectale,11,K60
K61,abcès des régions anale et rectale,11,K61
K610,abcès anal,11,K61
K611,abcès rectal,11,K61
K612,abcès ano-rectal,11,K61
K613,abcès ischio-rectal,11,K61
K614,abcès intrasphinctérien,11,K61
K62,autres maladies de l'anus et du rectum,11,K62
K620,polype anal,11,K62
K621,polype rectal,11,K62
K622,prolapsus anal,11,K62
K623,prolapsus rectal,11,K62
K624,sténose de l'anus et du rectum,11,K62
K625,hémorragie de l'anus et du rectum,11,K62
K626,ulcère de l'anus et du rectum,11,K62
K627,rectite due à un irradiation,11,K62
K628,autres maladies précisées de l'anus et du rectum,11,K62
K629,"maladie de l'anus et du rectum, sans précision",11,K62
K63,autres maladies de l'intestin,11,K63
K630,abcès de l'intestin,11,K63
K631,perforation de l'intestin (non traumatique),11,K63
K632,fistule de l'intestin,11,K63
K633,ulcère de l'intestin,11,K63
K634,entéroptose,11,K63
K635,polype du côlon,11,K63
K638,autres maladies précisées de l'intestin,11,K63
K639,"maladie de l'intestin, sans précision",11,K63
K64,hémorroïdes et thrombose veineuse périanale,11,K64
K640,hémorroïdes du premier degré,11,K64
K641,hémorroïdes du deuxième degré,11,K64
K642,hémorroïdes du troisième degré,11,K64
K643,hémorroïdes du quatrième degré,11,K64
K644,cicatrices hémorroïdaires cutanées résiduelles,11,K64
K645,thrombose veineuse périanale,11,K64
K648,autres hémorroïdes précisées,11,K64
K649,"hémorroïdes, sans précision",11,K64
K65,péritonite,11,K65
K650,péritonite aiguë,11,K65
K658,autres péritonites,11,K65
K659,"péritonite, sans précision",11,K65
K66,autres maladies du péritoine,11,K66
K660,adhérences péritonéales,11,K66
K661,hémopéritoine,11,K66
K668,autres maladies précisées du péritoine,11,K66
K669,"maladie du péritoine, sans précision",11,K66
K67,atteintes péritonéales au cours de maladies infectieuses classées ailleurs,11,K67
K670,péritonite à chlamydia (a74.8),11,K67
K671,péritonite gonococcique (a54.8),11,K67
K672,péritonite syphilitique (a52.7),11,K67
K673,péritonite tuberculeuse (a18.3),11,K67
K678,autres atteintes péritonéales au cours de maladies infectieuses classées ailleurs,11,K67
K70,maladie alcoolique du foie,11,K70
K700,cirrhose alcoolique graisseuse du foie,11,K70
K701,hépatite alcoolique,11,K70
K702,fibrose et sclérose alcoolique du foie,11,K70
K703,cirrhose alcoolique (du foie),11,K70
K704,insuffisance hépatique alcoolique,11,K70
K709,"maladie alcoolique du foie, sans précision",11,K70
K71,maladie toxique du foie,11,K71
K710,maladie toxique du foie avec cholestase,11,K71
K711,maladie toxique du foie avec nécrose hépatique,11,K71
K712,maladie toxique du foie avec hépatite aiguë,11,K71
K713,maladie toxique du foie avec hépatite chronique persistante,11,K71
K714,maladie toxique du foie avec hépatite chronique lobulaire,11,K71
K715,maladie toxique du foie avec hépatite chronique active,11,K71
K716,"maladie toxique du foie avec hépatite, non classée ailleurs",11,K71
K717,maladie toxique du foie avec fibrose et cirrhose du foie,11,K71
K718,maladie toxique du foie avec d'autres lésions du foie,11,K71
K719,"maladie toxique du foie, sans précision",11,K71
K72,"insuffisance hépatique, non classée ailleurs",11,K72
K720,insuffisance hépatique aiguë et subaiguë,11,K72
K721,insuffisance hépatique chronique,11,K72
K729,"insuffisance hépatique, sans précision",11,K72
K73,"hépatite chronique, non classée ailleurs",11,K73
K730,"hépatite chronique persistante, non classée ailleurs",11,K73
K731,"hépatite chronique lobulaire, non classée ailleurs",11,K73
K732,"hépatite chronique active, non classée ailleurs",11,K73
K738,"autres hépatites chroniques, non classées ailleurs",11,K73
K739,"hépatite chronique, sans précision",11,K73
K74,fibrose et cirrhose du foie,11,K74
K740,fibrose hépatique,11,K74
K741,sclérose hépatique,11,K74
K742,"fibrose hépatique, avec sclérose hépatique",11,K74
K743,cirrhose biliaire primitive,11,K74
K744,cirrhose biliaire secondaire,11,K74
K745,"cirrhose biliaire, sans précision",11,K74
K746,"cirrhoses (du foie), autres et sans précision",11,K74
K75,autres maladies inflammatoires du foie,11,K75
K750,abcès du foie,11,K75
K751,phlébite de la veine porte,11,K75
K752,hépatite réactive non spécifique,11,K75
K753,"hépatite granulomateuse, non classée ailleurs",11,K75
K754,hépatite auto-immune,11,K75
K758,autres maladies inflammatoires précisées du foie,11,K75
K759,"maladie inflammatoire du foie, sans précision",11,K75
K76,autres maladies du foie,11,K76
K760,"dégénérescence graisseuse du foie, non classée ailleurs",11,K76
K761,congestion passive chronique du foie,11,K76
K762,nécrose hémorragique centrale du foie,11,K76
K763,infarctus hépatique,11,K76
K764,péliose hépatique,11,K76
K765,maladie veino-occlusive du foie,11,K76
K766,hypertension portale,11,K76
K767,syndrome hépato-rénal,11,K76
K768,autres maladies précisées du foie,11,K76
K769,"maladie du foie, sans précision",11,K76
K77,atteintes hépatiques au cours de maladies classées ailleurs,11,K77
K770,atteintes hépatiques au cours de maladies infectieuses et parasitaires classées ailleurs,11,K77
K778,atteintes hépatiques au cours d'autres maladies classées ailleurs,11,K77
K80,cholélithiase,11,K80
K800,calcul de la vésicule biliaire avec cholécystite aiguë,11,K80
K801,calcul de la vésicule biliaire avec une autre forme de cholécystite,11,K80
K802,calcul de la vésicule biliaire (sans cholécystite),11,K80
K803,calcul des canaux biliaires avec angiocholite,11,K80
K804,calcul des canaux biliaires avec cholécystite,11,K80
K805,calcul des canaux biliaires (sans angiocholite ni cholécystite),11,K80
K808,autres cholélithiases,11,K80
K81,cholécystite,11,K81
K810,cholécystite aiguë,11,K81
K811,cholécystite chronique,11,K81
K818,autres cholécystites,11,K81
K819,"cholécystite, sans précision",11,K81
K82,autres maladies de la vésicule biliaire,11,K82
K820,occlusion de la vésicule biliaire,11,K82
K821,hydrocholécyste,11,K82
K822,perforation de la vésicule biliaire,11,K82
K823,fistule de la vésicule biliaire,11,K82
K824,cholestérolose de la vésicule biliaire,11,K82
K828,autres maladies précisées de la vésicule biliaire,11,K82
K829,"maladie de la vésicule biliaire, sans précision",11,K82
K83,autres maladies des voies biliaires,11,K83
K830,angiocholite [cholangite],11,K83
K831,obstruction des voies biliaires,11,K83
K832,perforation des voies biliaires,11,K83
K833,fistule des voies biliaires,11,K83
K834,spasme du sphincter d'oddi,11,K83
K835,kyste biliaire,11,K83
K838,autres maladies précisées des voies biliaires,11,K83
K839,"maladie des voies biliaires, sans précision",11,K83
K85,pancréatite aiguë,11,K85
K850,pancréatite aiguë idiopathique,11,K85
K851,pancréatite aiguë d'origine biliaire,11,K85
K852,pancréatite aiguë alcoolique,11,K85
K853,pancréatite aiguë médicamenteuse,11,K85
K858,autres pancréatites aiguës,11,K85
K859,"pancréatite aiguë, sans précision",11,K85
K86,autres maladies du pancréas,11,K86
K860,pancréatite chronique alcoolique,11,K86
K861,autres pancréatites chroniques,11,K86
K862,kyste du pancréas,11,K86
K863,pseudokyste du pancréas,11,K86
K868,autres maladies précisées du pancréas,11,K86
K869,"maladie du pancréas, sans précision",11,K86
K87,"atteintes de la vésicule biliaire, des voies biliaires et du pancréas au cours de maladies classées ailleurs",11,K87
K870,atteinte de la vésicule biliaire et des voies biliaires au cours de maladies classées ailleurs,11,K87
K8700,cholangite à cytomégalovirus (b25.8),11,K87
K8708,atteintes de la vésicule biliaire et des voies biliaires au cours d'autres maladies classées ailleurs,11,K87
K871,atteinte du pancréas au cours de maladies classées ailleurs,11,K87
K90,malabsorption intestinale,11,K90
K900,maladie coeliaque,11,K90
K901,sprue tropicale,11,K90
K902,"syndrome de l'anse borgne, non classé ailleurs",11,K90
K903,stéatorrhée pancréatique,11,K90
K904,"malabsorption due à une intolérance, non classée ailleurs",11,K90
K908,autres malabsorptions intestinales,11,K90
K909,"malabsorption intestinale, sans précision",11,K90
K91,"atteintes de l'appareil digestif après un acte à visée diagnostique et thérapeutique, non classées ailleurs",11,K91
K910,vomissements consécutifs à une intervention gastro-intestinale,11,K91
K911,syndromes consécutifs à une intervention gastrique,11,K91
K912,"malabsorption post-chirurgicale, non classée ailleurs",11,K91
K913,"occlusion intestinale post-opératoire, non classée ailleurs",11,K91
K914,mauvais résultats fonctionnels d'une colostomie et d'une entérostomie,11,K91
K915,syndrome post-cholécystectomie,11,K91
K918,"autres atteintes de l'appareil digestif après un acte à visée diagnostique et thérapeutique, non classées ailleurs",11,K91
K919,"atteinte de l'appareil digestif après un acte à visée diagnostique et thérapeutique, sans précision",11,K91
K92,autres maladies du système digestif,11,K92
K920,hématémèse,11,K92
K921,mélæna,11,K92
K922,"hémorragie gastro-intestinale, sans précision",11,K92
K928,autres maladies précisées du système digestif,11,K92
K929,"maladie du système digestif, sans précision",11,K92
K93,atteintes d'autres organes de l'appareil digestif au cours de maladies classées ailleurs,11,K93
K930,"atteintes tuberculeuses de l'intestin, du péritoine et des ganglions mésentériques (a18.3)",11,K93
K931,mégacôlon au cours de la maladie de chagas (b57.3),11,K93
K938,atteintes d'autres organes digestifs précisés au cours de maladies classées ailleurs,11,K93
K9380,atteintes de la cavité buccale au cours de maladies classées ailleurs,11,K93
K9381,atteintes de l'estomac au cours de maladies classées ailleurs,11,K93
K9382,atteintes de l'intestin au cours de maladies classées ailleurs,11,K93
K93820,colite à cytomégalovirus (b25.8),11,K93
K93828,atteintes de l'intestin au cours d'autres maladies classées ailleurs,11,K93
K9383,atteintes du rectum au cours de maladies classées ailleurs,11,K93
K93830,infection du rectum par le virus de l'herpès (a60.1),11,K93
K93838,atteintes du rectum au cours d'autres maladies classées ailleurs,11,K93
K9384,atteintes de l'anus au cours de maladies classées ailleurs,11,K93
K93840,infection de l'anus par le virus de l'herpès (a60.1),11,K93
K93848,atteintes de l'anus au cours d'autres maladies classées ailleurs,11,K93
K9388,"atteintes d'organes digestifs autres, au cours de maladies classées ailleurs",11,K93
L00,syndrome d'épidermolyse staphylococcique du nourrisson,12,L00
L00-L99,Diseases of the skin and subcutaneous tissue,12,
L01,impétigo,12,L01
L010,impétigo [tout micro-organisme] [toute localisation],12,L01
L011,impétiginisation d'autres dermatoses,12,L01
L02,"abcès cutané, furoncle et anthrax",12,L02
L020,"abcès cutané, furoncle et anthrax de la face",12,L02
L021,"abcès cutané, furoncle et anthrax du cou",12,L02
L022,"abcès cutané, furoncle et anthrax du tronc",12,L02
L023,"abcès cutané, furoncle et anthrax de la fesse",12,L02
L024,"abcès cutané, furoncle et anthrax d'un membre",12,L02
L028,"abcès cutané, furoncle et anthrax d'autres localisations",12,L02
L029,"abcès cutané, furoncle et anthrax, sans précision",12,L02
L03,phlegmon,12,L03
L030,phlegmon des doigts et des orteils,12,L03
L031,phlegmon d'autres parties d'un membre,12,L03
L032,phlegmon de la face,12,L03
L033,phlegmon du tronc,12,L03
L038,phlegmon d'autres localisations,12,L03
L039,"phlegmon, sans précision",12,L03
L04,lymphadénite aiguë,12,L04
L040,"lymphadénite aiguë de la face, de la tête et du cou",12,L04
L041,lymphadénite aiguë du tronc,12,L04
L042,lymphadénite aiguë d'un membre supérieur,12,L04
L043,lymphadénite aiguë d'un membre inférieur,12,L04
L048,lymphadénite aiguë d'autres localisations,12,L04
L049,"lymphadénite aiguë, sans précision",12,L04
L05,sinus pilonidal,12,L05
L050,sinus pilonidal avec abcès,12,L05
L059,sinus pilonidal (sans abcès),12,L05
L08,autres infections localisées de la peau et du tissu cellulaire sous-cutané,12,L08
L080,pyodermite,12,L08
L081,érythrasma,12,L08
L088,autres infections localisées précisées de la peau et du tissu cellulaire sous-cutané,12,L08
L089,"infection localisée de la peau et du tissu cellulaire sous-cutané, sans précision",12,L08
L10,pemphigus,12,L10
L100,pemphigus vulgaire,12,L10
L101,pemphigus végétant,12,L10
L102,pemphigus foliacé,12,L10
L103,pemphigus brésilien [fogo selvagem],12,L10
L104,pemphigus érythémateux,12,L10
L105,pemphigus médicamenteux,12,L10
L108,autres formes de pemphigus,12,L10
L109,"pemphigus, sans précision",12,L10
L11,autres acantholyses,12,L11
L110,kératose folliculaire acquise,12,L11
L111,dermatose acantholytique transitoire [grover],12,L11
L118,autres formes précisées d'acantholyse,12,L11
L119,"acantholyse, sans précision",12,L11
L12,pemphigoïde,12,L12
L120,pemphigoïde bulleux,12,L12
L121,pemphigoïde cicatriciel,12,L12
L122,maladie chronique bulleuse de l'enfance,12,L12
L123,épidermolyse bulleuse acquise,12,L12
L128,autres pemphigoïdes,12,L12
L129,"pemphigoïde, sans précision",12,L12
L13,autres dermatoses bulleuses,12,L13
L130,dermite herpétiforme,12,L13
L131,pustulose sous-cornée,12,L13
L138,autres dermatoses bulleuses précisées,12,L13
L139,"dermatose bulleuse, sans précision",12,L13
L14,dermatoses bulleuses au cours de maladies classées ailleurs,12,L14
L20,dermite atopique,12,L20
L200,prurigo de besnier,12,L20
L208,autres dermites atopiques,12,L20
L209,"dermite atopique, sans précision",12,L20
L21,dermite séborrhéique,12,L21
L210,séborrhée de la tête,12,L21
L211,dermite séborrhéique infantile,12,L21
L218,autres dermites séborrhéiques,12,L21
L219,"dermite séborrhéique, sans précision",12,L21
L22,dermite fessière du nourrisson,12,L22
L23,dermite allergique de contact,12,L23
L230,dermite allergique de contact due aux métaux,12,L23
L231,dermite allergique de contact due aux adhésifs,12,L23
L232,dermite allergique de contact due aux cosmétiques,12,L23
L233,dermite allergique de contact due à des médicaments en contact avec la peau,12,L23
L234,dermite allergique de contact due aux teintures,12,L23
L235,dermite allergique de contact due à d'autres produits chimiques,12,L23
L236,dermite allergique de contact due à des aliments en contact avec la peau,12,L23
L237,"dermite allergique de contact due aux végétaux, sauf aliments",12,L23
L238,dermite allergique de contact due à d'autres agents,12,L23
L239,"dermite allergique de contact, cause non précisée",12,L23
L24,dermite irritante de contact,12,L24
L240,dermite irritante de contact due aux détergents,12,L24
L241,dermite irritante de contact due aux huiles et aux graisses,12,L24
L242,dermite irritante de contact due aux solvants,12,L24
L243,dermite irritante de contact due aux cosmétiques,12,L24
L244,dermite irritante de contact due à des médicaments en contact avec la peau,12,L24
L245,dermite irritante de contact due à d'autres produits chimiques,12,L24
L246,dermite irritante de contact due à des aliments en contact avec la peau,12,L24
L247,"dermite irritante de contact due aux végétaux, sauf aliments",12,L24
L248,dermite irritante de contact due à d'autres agents,12,L24
L249,"dermite irritante de contact, cause non précisée",12,L24
L25,"dermite de contact, sans précision",12,L25
L250,"dermite de contact, sans précision, due aux cosmétiques",12,L25
L251,"dermite de contact, sans précision, due à des médicaments en contact avec la peau",12,L25
L252,"dermite de contact, sans précision, due aux teintures",12,L25
L253,"dermite de contact, sans précision, due à d'autres produits chimiques",12,L25
L254,"dermite de contact, sans précision, due à des aliments en contact avec la peau",12,L25
L255,"dermite de contact, sans précision, due aux végétaux, sauf aliments",12,L25
L258,"dermite de contact, sans précision, due à d'autres agents",12,L25
L259,"dermite de contact, sans précision, (de cause non précisée)",12,L25
L26,dermite exfoliatrice,12,L26
L27,dermite due à des substances prises par voie interne,12,L27
L270,éruption généralisée due à des médicaments,12,L27
L271,éruption localisée due à des médicaments,12,L27
L272,dermite due à l'ingestion d'aliments,12,L27
L278,dermite due à d'autres substances prises par voie interne,12,L27
L279,dermite due à une substance non précisée prise par voie interne,12,L27
L28,lichen simplex chronique et prurigo,12,L28
L280,lichen simplex chronique,12,L28
L281,prurigo nodulaire de hyde,12,L28
L282,autres formes de prurigo,12,L28
L29,prurit,12,L29
L290,prurit anal,12,L29
L291,prurit scrotal,12,L29
L292,prurit vulvaire,12,L29
L293,"prurit ano-génital, sans précision",12,L29
L298,autres prurits,12,L29
L299,"prurit, sans précision",12,L29
L30,autres dermites,12,L30
L300,dermite nummulaire,12,L30
L301,dyshidrose [pompholyx],12,L30
L302,autosensibilisation cutanée,12,L30
L303,dermite infectée,12,L30
L304,intertrigo érythémateux,12,L30
L305,pityriasis alba,12,L30
L308,autres dermites précisées,12,L30
L309,"dermite, sans précision",12,L30
L40,psoriasis,12,L40
L400,psoriasis vulgaris,12,L40
L401,psoriasis pustulaire généralisé,12,L40
L402,acrodermatite continue de hallopeau,12,L40
L403,pustulose palmaire et plantaire,12,L40
L404,psoriasis en goutte,12,L40
L405,"psoriasis arthropathique (m07.0-m07.3*, m09.0*)",12,L40
L408,autres psoriasis,12,L40
L409,"psoriasis, sans précision",12,L40
L41,parapsoriasis,12,L41
L410,pityriasis lichénoïde et varioliforme aigu,12,L41
L411,pityriasis lichénoïde chronique,12,L41
L412,papulose lymphomatoïde,12,L41
L413,parapsoriasis à petites plaques,12,L41
L414,parapsoriasis à grandes plaques,12,L41
L415,parapsoriasis rétiforme,12,L41
L418,autres parapsoriasis,12,L41
L419,"parapsoriasis, sans précision",12,L41
L42,pityriasis rosé de gibert,12,L42
L43,lichen plan,12,L43
L430,lichen plan hypertrophique,12,L43
L431,lichen plan bulleux,12,L43
L432,réaction lichénoïde médicamenteuse,12,L43
L433,lichen plan subaigu (actif),12,L43
L438,autres lichen plans,12,L43
L439,"lichen plan, sans précision",12,L43
L44,autres lésions papulo-squameuses,12,L44
L440,pityriasis rubra pilaire,12,L44
L441,lichen nitidus,12,L44
L442,lichen strié,12,L44
L443,lichen ruber moniliforme,12,L44
L444,acrodermatite érythématopapuleuse infantile [giannoti-crosti],12,L44
L448,autres lésions papulo-squameuses précisées,12,L44
L449,"lésion papulo-squameuse, sans précision",12,L44
L45,lésions papulo-squameuses au cours de maladies classées ailleurs,12,L45
L50,urticaire,12,L50
L500,urticaire allergique,12,L50
L501,urticaire idiopathique,12,L50
L502,urticaire provoquée par le froid et la chaleur,12,L50
L503,dermographisme,12,L50
L504,urticaire provoquée par vibration,12,L50
L505,urticaire cholinergique,12,L50
L506,urticaire de contact,12,L50
L508,autres formes d'urticaire,12,L50
L509,"urticaire, sans précision",12,L50
L51,érythème polymorphe,12,L51
L510,érythème polymorphe non bulleux,12,L51
L511,érythème polymorphe bulleux,12,L51
L512,épidermolyse nécrosante suraiguë [lyell],12,L51
L5120,épidermolyse nécrosante suraiguë [lyell] avec décollement égal ou supérieur à 30% (de la surface du corps),12,L51
L5129,épidermolyse nécrosante suraiguë [lyell] avec décollement inférieur à 30% (de la surface du corps) ou sans précison,12,L51
L518,autres formes d'érythème polymorphe,12,L51
L519,"érythème polymorphe, sans précision",12,L51
L52,érythème noueux,12,L52
L53,autres formes d'érythème,12,L53
L530,érythème toxique,12,L53
L531,érythème annulaire centrifuge,12,L53
L532,érythème marginé discoïde de besnier,12,L53
L533,autres formes d'érythème figuré chronique,12,L53
L538,autres formes précisées d'érythème,12,L53
L539,"érythème, sans précision",12,L53
L54,érythèmes au cours de maladies classées ailleurs,12,L54
L540,érythème marginé discoïde de besnier au cours d'un rhumatisme articulaire aigu (i00),12,L54
L548,érythème au cours d'autres maladies classées ailleurs,12,L54
L55,coup de soleil,12,L55
L550,coup de soleil du premier degré,12,L55
L551,coup de soleil du deuxième degré,12,L55
L552,coup de soleil du troisième degré,12,L55
L558,autres coups de soleil,12,L55
L559,"coup de soleil, sans précision",12,L55
L56,autres modifications aiguës de la peau dues aux rayons ultraviolets,12,L56
L560,réaction phototoxique à un médicament,12,L56
L561,réaction photoallergique à un médicament,12,L56
L562,dermite de photocontact [dermite de breloque],12,L56
L563,urticaire solaire,12,L56
L564,lucite polymorphe,12,L56
L568,autres modifications aiguës précisées de la peau dues aux rayons ultraviolets,12,L56
L569,"modification aiguë de la peau due aux rayons ultraviolets, sans précision",12,L56
L57,modifications de la peau dues à une exposition chronique aux rayonnements non ionisants,12,L57
L570,kératose actinique,12,L57
L571,actinoréticulose,12,L57
L572,cutis rhomboidalis,12,L57
L573,poïkilodermie de civatte,12,L57
L574,cutis laxa senilis,12,L57
L575,granulome actinique,12,L57
L578,autres modifications de la peau dues à une exposition chronique aux rayonnements non ionisants,12,L57
